Radiant_Temp,Humidity,Air_Velocity,Optimal_Air_Temp,Min_Abs_PMV
12.5,50,1.5,,inf
12.5,50,1.6,,inf
12.5,55,0.0,34.0,0.00323288466307159
12.5,55,0.1,34.0,0.008189485710103247
12.5,55,0.2,32.5,0.010514186908159555
12.5,55,0.30000000000000004,32.0,0.03346278402912854
12.5,55,0.4,31.5,0.01797458746286255
12.5,55,0.5,31.0,0.0340697518868828
12.5,55,0.6000000000000001,31.0,0.028209548443671364
12.5,55,0.7000000000000001,30.5,0.06261051827597894
12.5,55,0.8,30.5,0.021137364597654872
12.5,55,0.9,30.5,0.01566252573780204
12.5,55,1.0,30.5,0.04196876525466936
12.5,55,1.1,15.0,5.588599071153749
12.5,55,1.2000000000000002,22.5,16.112139538372222
12.5,55,1.3,,inf
12.5,55,1.4000000000000001,,inf
12.5,55,1.5,,inf
12.5,55,1.6,,inf
12.5,60,0.0,33.5,0.030634705014833223
12.5,60,0.1,33.5,0.00905457973459294
12.5,60,0.2,32.0,0.04999844244003138
12.5,60,0.30000000000000004,31.5,0.018752452594560348
12.5,60,0.4,31.0,0.04396110903994224
12.5,60,0.5,31.0,0.031428342018939806
12.5,60,0.6000000000000001,30.5,0.047065994528228725
12.5,60,0.7000000000000001,30.5,0.001046046905774649
12.5,60,0.8,30.5,0.04251920058409871
12.5,60,0.9,30.0,0.07318914696482681
12.5,60,1.0,30.0,0.04879936851342067
12.5,60,1.1,15.0,5.563736604494083
12.5,60,1.2000000000000002,22.5,16.151876261175627
12.5,60,1.3,,inf
12.5,60,1.4000000000000001,,inf
12.5,60,1.5,,inf
12.5,60,1.6,,inf
12.5,65,0.0,33.5,0.044782405748876604
12.5,65,0.1,33.0,0.029929426965483265
12.5,65,0.2,32.0,0.019322044313107727
12.5,65,0.30000000000000004,31.5,0.04863329385335118
12.5,65,0.4,31.0,0.02153698486588036
12.5,65,0.5,30.5,0.040291485591464254
12.5,65,0.6000000000000001,30.5,0.016590570653524858
12.5,65,0.7000000000000001,30.5,0.06470261208752823
12.5,65,0.8,30.0,0.044281276918049714
12.5,65,0.9,30.0,0.011328935070198087
12.5,65,1.0,30.0,0.013060843381208057
12.5,65,1.1,15.0,5.5388741378344175
12.5,65,1.2000000000000002,22.5,16.19161298397903
12.5,65,1.3,,inf
12.5,65,1.4000000000000001,,inf
12.5,65,1.5,,inf
12.5,65,1.6,,inf
12.5,70,0.0,33.0,0.012401612480901505
12.5,70,0.1,33.0,0.04340573831741253
12.5,70,0.2,31.5,0.025479391428858775
12.5,70,0.30000000000000004,31.0,0.008776658904646012
12.5,70,0.4,30.5,0.04547139910110911
12.5,70,0.5,30.5,0.023365079590289852
12.5,70,0.6000000000000001,30.0,0.06363999822805856
12.5,70,0.7000000000000001,30.0,0.020105938235265866
12.5,70,0.8,30.0,0.017578934976580068
12.5,70,0.9,30.0,0.05053127682443169
12.5,70,1.0,30.0,0.07492105527583784
12.5,70,1.1,15.0,5.514011671174752
12.5,70,1.2000000000000002,22.5,16.231349706782435
12.5,70,1.3,,inf
12.5,70,1.4000000000000001,,inf
12.5,70,1.5,,inf
12.5,70,1.6,,inf
12.5,75,0.0,32.5,0.022643084996989887
12.5,75,0.1,32.5,0.017007146156754138
12.5,75,0.2,31.5,0.04190635501905223
12.5,75,0.30000000000000004,31.0,0.056721435001177115
12.5,75,0.4,30.5,0.01818516608064447
12.5,75,0.5,30.0,0.053261225713953426
12.5,75,0.6000000000000001,30.0,0.0017797863334287896
12.5,75,0.7000000000000001,30.0,0.04175427365936391
12.5,75,0.8,29.5,0.0741908728594299
12.5,75,0.9,29.5,0.0445337611139997
12.5,75,1.0,29.5,0.02259205760034382
12.5,75,1.1,15.0,5.489149204515087
12.5,75,1.2000000000000002,22.5,16.27108642958584
12.5,75,1.3,,inf
12.5,75,1.4000000000000001,,inf
12.5,75,1.5,,inf
12.5,75,1.6,,inf
12.5,80,0.0,32.5,0.04866020950511168
12.5,80,0.1,32.0,0.01269955313896193
12.5,80,0.2,31.0,0.007987612235185782
12.5,80,0.30000000000000004,30.5,0.0056632315395446975
12.5,80,0.4,30.0,0.053680464838581424
12.5,80,0.5,30.0,0.008598986180675823
12.5,80,0.6000000000000001,30.0,0.06008042556120046
12.5,80,0.7000000000000001,29.5,0.04780086067721222
12.5,80,0.8,29.5,0.01408277180284244
12.5,80,0.9,29.5,0.015574339942587759
12.5,80,1.0,29.5,0.03751604345624364
12.5,80,1.1,15.0,5.464286737855422
12.5,80,1.2000000000000002,22.5,16.310823152389244
12.5,80,1.3,,inf
12.5,80,1.4000000000000001,,inf
12.5,80,1.5,,inf
12.5,80,1.6,,inf
12.5,85,0.0,32.0,0.009153048934098702
12.5,85,0.1,31.5,0.045584149620283156
12.5,85,0.2,31.0,0.05751048167063682
12.5,85,0.30000000000000004,30.5,0.057993333642208884
12.5,85,0.4,30.0,0.008179747056048353
12.5,85,0.5,30.0,0.0704591980753056
12.5,85,0.6000000000000001,29.5,0.026646320628470232
12.5,85,0.7000000000000001,29.5,0.01230724037937524
12.5,85,0.8,29.5,0.046025329253745015
12.5,85,0.9,29.5,0.07568244099917522
12.5,85,1.0,29.0,0.06471863530172109
12.5,85,1.1,15.0,5.4394242711957554
12.5,85,1.2000000000000002,22.5,16.350559875192648
12.5,85,1.3,,inf
12.5,85,1.4000000000000001,,inf
12.5,85,1.5,,inf
12.5,85,1.6,,inf
12.5,90,0.0,31.5,0.03259804868256169
12.5,90,0.1,31.5,0.021801596827628902
12.5,90,0.2,30.5,0.002742057159127871
12.5,90,0.30000000000000004,30.0,0.009152511619279873
12.5,90,0.4,29.5,0.06833405194195229
12.5,90,0.5,29.5,0.012615689555172244
12.5,90,0.6000000000000001,29.5,0.033461780428117226
12.5,90,0.7000000000000001,29.5,0.07241534143596269
12.5,90,0.8,29.0,0.05204034723665506
12.5,90,0.9,29.0,0.026054459850906077
12.5,90,1.0,29.0,0.006319320398962652
12.5,90,1.1,15.0,5.414561804536092
12.5,90,1.2000000000000002,22.5,16.390296597996052
12.5,90,1.3,,inf
12.5,90,1.4000000000000001,,inf
12.5,90,1.5,,inf
12.5,90,1.6,,inf
13.0,10,0.0,35.0,0.4718784548358968
13.0,10,0.1,35.0,0.47187410589732276
13.0,10,0.2,35.0,0.13907129804358756
13.0,10,0.30000000000000004,34.5,0.025503823097047684
13.0,10,0.4,34.0,0.014478674854145649
13.0,10,0.5,33.5,0.009471212407007773
13.0,10,0.6000000000000001,33.0,0.02584503231029039
13.0,10,0.7000000000000001,33.0,0.04323671619075135
13.0,10,0.8,32.5,0.027658327987490097
13.0,10,0.9,32.5,0.021405878916454662
13.0,10,1.0,32.5,0.05246701505488129
13.0,10,1.1,15.0,5.828251991692375
13.0,10,1.2000000000000002,17.0,60.55658361724081
13.0,10,1.3,,inf
13.0,10,1.4000000000000001,,inf
13.0,10,1.5,,inf
13.0,10,1.6,,inf
13.0,15,0.0,35.0,0.3899046979064179
13.0,15,0.1,35.0,0.38990034896784387
13.0,15,0.2,35.0,0.057097541114108696
13.0,15,0.30000000000000004,34.0,0.050366753332680717
13.0,15,0.4,33.5,0.02073585526238099
13.0,15,0.5,33.0,0.03431239545701995
13.0,15,0.6000000000000001,33.0,0.0474901329726054
13.0,15,0.7000000000000001,32.5,0.01248594535357846
13.0,15,0.8,32.5,0.043644966514611465
13.0,15,0.9,32.0,0.043517275857137265
13.0,15,1.0,32.0,0.013779233288636
13.0,15,1.1,15.0,5.803389525032709
13.0,15,1.2000000000000002,17.0,60.58483403541145
13.0,15,1.3,,inf
13.0,15,1.4000000000000001,,inf
13.0,15,1.5,,inf
13.0,15,1.6,,inf
13.0,20,0.0,35.0,0.307930940976939
13.0,20,0.1,35.0,0.307926592038365
13.0,20,0.2,35.0,0.02487621581537018
13.0,20,0.30000000000000004,34.0,0.027183405533293313
